date_played,home_team,away_team,home_score,away_score,city,country,Result
8/8/1920,Argentina,Uruguay,1,0,Buenos Aires,Argentina,Argentina
9/11/1920,Chile,Brazil,0,1,Viña del Mar,Chile,Brazil
9/12/1920,Uruguay,Argentina,1,1,Viña del Mar,Chile,drawn
9/18/1920,Brazil,Uruguay,0,6,Viña del Mar,Chile,Uruguay
9/19/1920,Finland,Sweden,1,0,Helsinki,Finland,Finland
9/20/1920,Chile,Argentina,1,1,Viña del Mar,Chile,drawn
9/25/1920,Argentina,Brazil,2,0,Viña del Mar,Chile,Argentina
9/26/1920,Austria,Germany,3,2,Vienna,Austria,Austria
9/26/1920,Sweden,Norway,0,0,Stockholm,Sweden,drawn
10/3/1920,Chile,Uruguay,1,2,Viña del Mar,Chile,Uruguay
10/10/1920,Sweden,Denmark,0,2,Stockholm,Sweden,Denmark
10/17/1920,Finland,Estonia,6,0,Helsinki,Finland,Finland
10/23/1920,England,Northern Ireland,2,0,Sunderland,England,England
10/24/1920,Germany,Hungary,1,0,Berlin,Germany,Germany
11/7/1920,Hungary,Austria,1,2,Budapest,Hungary,Austria
2/12/1921,Scotland,Wales,2,1,Aberdeen,Scotland,Scotland
2/20/1921,France,Italy,1,2,Marseille,France,Italy
